sysno|authorroman|titleroman|title|imprintplaceroman|publisherroman|date|pages|authorlast|authorfirst|iadetails|iaidentifier|streamurl|downloadurl,,,,,,,,,,,,,,,,,
212432|Sheyn, Elizabeth.|Di ṿayse shḳlaṿin : a roman fun leben fun di gefalene un farlorene|דיא ווייסע שקלאווין : א ראמאן פון לעבען פון די געפאלענע און פארלארענע|Nyu Yorḳ|Ṿarhayṭ, [n.d.]||142|שיין|עליזאבעטה|https://archive.org/details/nybc212432|nybc212432|http://www.archive.org/stream/nybc212432|http://www.archive.org/download/nybc212432/nybc212432.pdf
212434|Hermalin, D. M.|Fraye Liebe : a radiḳales lebensbild|פרייע ליעבע : א ראדיקאלעם לעבענסבילר|Nyu Yorḳ|Hibru publishing ḳo., [19--]||122|הערמאלין|ד. מ|https://archive.org/details/frayeliebe00herm|frayeliebe00herm|http://www.archive.org/stream/frayeliebe00herm|http://www.archive.org/download/frayeliebe00herm/frayeliebe00herm.pdf
212371|Michaëlis, Karin|Meṭe Ṭrap : di moderne froy|מעטע טראפ : די מאדערנע פרוי|Ṿarshe|M. Goldfarb,|1929|223|מיכאעליס|קארין|https://archive.org/details/nybc212371|nybc212371|http://www.archive.org/stream/nybc212371|http://www.archive.org/download/nybc212371/nybc212371.pdf
212372|Reid, Mayne|Ṿaldḳinder|וואלדקינדער|Ṿarshe|B. Shimin,|1921|81|מיין-ריד.||https://archive.org/details/nybc212372|nybc212372|http://www.archive.org/stream/nybc212372|http://www.archive.org/download/nybc212372/nybc212372.pdf
212363|Hirschbein, Peretz|Ṿayṭe un nohenṭe : bilder in fir aḳṭen|ווייטע און נאהענע : בילדער אין 4 אקטען|Vilna|Di ṿelṭ,|1906|68|הירשביין|פרץ|https://archive.org/details/nybc212363|nybc212363|http://www.archive.org/stream/nybc212363|http://www.archive.org/download/nybc212363/nybc212363.pdf
212364|Jewnin, M.|Reynlikhḳayṭ un gezund|ריינליכקייט און געזונד|Ṿilna|B. Yafeh,|1901|18|יעוונין|מ|https://archive.org/details/nybc212364|nybc212364|http://www.archive.org/stream/nybc212364|http://www.archive.org/download/nybc212364/nybc212364.pdf
212809|Peretz, Isaac Leib|Bontsye Shṿayg : redaḳṭirṭ far der yugnṭ ...|באנציע שווייג : רעדאקירט פאר דער יוגנט ..|Ṿilne|Ṿilner farlag fun B. Ḳletsḳin, [19--]||12|פרץ|יצחק ל|https://archive.org/details/nybc212809|nybc212809|http://www.archive.org/stream/nybc212809|http://www.archive.org/download/nybc212809/nybc212809.pdf
212419|Efroykin, Israel|Oyfḳum un umḳum fun Yidishe goles̀-shprakhn un dyaleḳṭn|אויפקום און אומקום פון יידישע גלות-שפראכן און דיאלעקטן|Pariz|Ḳiyem,|1951|95|עפרויקין|ישראל|https://archive.org/details/oyfkumunumku00efro|oyfkumunumku00efro|http://www.archive.org/stream/oyfkumunumku00efro|http://www.archive.org/download/oyfkumunumku00efro/oyfkumunumku00efro.pdf
211236|Schatz, Max|Gezelshafṭlekhe baṿegungen ba Yidn far 1917|געזעלשאפטלעכע באוועגונגען בא יידן פאר 1917|Rige|Bikher far alemen,|1930|164|שאץ-אנין|מ|https://archive.org/details/nybc211236|nybc211236|http://www.archive.org/stream/nybc211236|http://www.archive.org/download/nybc211236/nybc211236.pdf
211569|Ber|Ber Bolekhoṿers zikhroynes̀|בער באלעכאווערס זכרונות|Berlin|Klal-farlag, 683,|1922|147|בער באלעכאווער.||https://archive.org/details/nybc211569|nybc211569|http://www.archive.org/stream/nybc211569|http://www.archive.org/download/nybc211569/nybc211569.pdf
